file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,112,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,24
style.css,113,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,18
style.css,114,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,9
style.css,115,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,11
style.css,116,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,0
style.css,117,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,0
style.css,118,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,30
style.css,119,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,14
style.css,120,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,20
style.css,121,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,0
style.css,122,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,0
style.css,123,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,31
style.css,124,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,20
style.css,125,css,f14da1d5,Jahnavi Naik,2025-01-22,09:19:41,-08:00,2025-01-22T09:19:41-08:00,0,0
style.css,126,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,127,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,15
style.css,128,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,30
style.css,129,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,16
style.css,130,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,17
style.css,131,css,b3946189,Jahnavi Naik,2025-02-10,16:11:22,-08:00,2025-02-10T16:11:22-08:00,0,0
style.css,132,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,133,css,b3946189,Jahnavi Naik,2025-02-10,16:11:22,-08:00,2025-02-10T16:11:22-08:00,0,0
